序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2013年09月,150,131,19,-,-
2,新北市,2013年09月,270,229,41,-,-
3,臺中市,2013年09月,150,27,111,12,12
4,臺南市,2013年09月,120,12,103,5,5
5,高雄市,2013年09月,240,50,173,17,17
6,基隆市,2013年09月,30,27,3,-,-
7,新竹市,2013年09月,30,14,16,-,-
8,嘉義市,2013年09月,26,5,21,-,-
9,宜蘭縣,2013年09月,60,55,5,-,-
10,桃園市,2013年09月,120,76,44,-,-
11,新竹縣,2013年09月,60,30,29,1,1
12,苗栗縣,2013年09月,60,18,42,-,-
13,彰化縣,2013年09月,60,9,51,-,-
14,南投縣,2013年09月,60,9,47,4,4
15,雲林縣,2013年09月,60,7,51,2,2
16,嘉義縣,2013年09月,60,3,57,-,-
17,屏東縣,2013年09月,89,34,45,10,10
18,臺東縣,2013年09月,30,29,1,-,-
19,花蓮縣,2013年09月,30,30,-,-,-
20,澎湖縣,2013年09月,30,8,22,-,-
21,金門縣,2013年09月,30,5,25,-,-
22,連江縣,2013年09月,30,14,16,-,-
